id,coding,d2018,d2017,d2016,16-17,17-18
355,日東電工(株)【6988】,125722,92589,102397,-9.58%,35.79%
69,(株)ＮＴＴデータ【9613】,123522,117109,100885,16.08%,5.48%
1110,ＨＯＹＡ(株)【7741】,123457,103903,118354,-12.21%,18.82%
151,清水建設(株)【1803】,121373,128835,94668,36.09%,-5.79%
54,サントリー食品インターナショナル(株)【2587】,117955,93481,92007,1.60%,26.18%
72,東京ガス(株)【9531】,116302,58365,192008,-69.60%,99.27%
433,塩野義製薬(株)【4507】,115219,108178,91406,18.35%,6.51%
124,ＡＧＣ(株)【5201】,113915,68837,85949,-19.91%,65.49%
252,コスモエネルギーホールディングス(株)【5021】,111868,92182,-29742,409.94%,21.36%
177,(株)オリエンタルランド【4661】,110285,113152,107357,5.40%,-2.53%
120,住友金属鉱山(株)【5713】,110203,76390,59720,27.91%,44.26%
258,テルモ(株)【4543】,108552,76578,81703,-6.27%,41.75%
34,東北電力(株)【9506】,107665,130422,189759,-31.27%,-17.45%
116,阪急阪神ホールディングス(株)【9042】,105211,104058,110293,-5.65%,1.11%
51,Ｊ−ＰＯＷＥＲ【9513】,104336,81726,87376,-6.47%,27.67%
137,大塚ホールディングス(株)【4578】,104181,101145,151837,-33.39%,3.00%
601,(株)小糸製作所【7276】,103785,92523,82218,12.53%,12.17%
813,飯田グループホールディングス(株)【3291】,103755,113647,94661,20.06%,-8.70%
81,三井化学(株)【4183】,103491,102149,70926,44.02%,1.31%
38,九州電力(株)【9508】,103123,122640,120256,1.98%,-15.91%
59,(株)コンコルディア・フィナンシャルグループ【7186】,102567,98638,,#DIV/0!,3.98%
188,(株)長谷工コーポレーション【1808】,100805,89032,68762,29.48%,13.22%
109,積水化学工業(株)【4204】,99231,96476,89823,7.41%,2.86%
154,中外製薬(株)【4519】,98934,76884,86784,-11.41%,28.68%
27,三菱自動車(株)【7211】,98201,5118,138377,-96.30%,1818.74%
167,日本精工(株)【6471】,97875,65341,89534,-27.02%,49.79%
139,日立建機(株)【6305】,95737,23622,34052,-30.63%,305.29%
94,京セラ(株)【6971】,95575,104542,92656,12.83%,-8.58%
334,明治ホールディングス(株)【2269】,94673,88395,77781,13.65%,7.10%
631,(株)ニトリホールディングス【9843】,93378,85776,73039,17.44%,8.86%
856,(株)ネクソン【3659】,90504,40661,62290,-34.72%,122.58%
1276,シャープ(株)【6753】,90125,62454,-161967,138.56%,44.31%
35,(株)神戸製鋼所【5406】,88913,9749,68445,-85.76%,812.02%
417,大日本住友製薬(株)【4506】,88173,52759,36929,42.87%,67.12%
555,ユニ・チャーム(株)【8113】,86339,78277,79934,-2.07%,10.30%
175,オムロン(株)【6645】,85910,67566,62287,8.48%,27.15%
303,ＴＤＫ(株)【6762】,85633,208660,93414,123.37%,-58.96%
143,味の素(株)【2802】,83320,83617,91045,-8.16%,-0.36%
86,東京急行電鉄(株)【9005】,82918,77974,75480,3.30%,6.34%
30,丸紅(株)【8002】,81522,74137,-15100,590.97%,9.96%
229,(株)ジェイテクト【6473】,81391,77442,81923,-5.47%,5.10%
83,オリンパス(株)【7733】,81029,76487,104464,-26.78%,5.94%
165,(株)ＬＩＸＩＬグループ【5938】,80949,67535,39011,73.12%,19.86%
176,アコム(株)【8572】,80942,-70166,15516,-552.22%,215.36%
173,(株)資生堂【4911】,80437,36780,37660,-2.34%,118.70%
155,日野自動車(株)【7205】,80331,71178,98287,-27.58%,12.86%
396,(株)マキタ【6586】,79762,62564,64676,-3.27%,27.49%
294,三菱ＵＦＪリース(株)【8593】,79285,79112,88272,-10.38%,0.22%
164,ミネベアミツミ(株)【6479】,79162,49015,51438,-4.71%,61.51%
290,昭和シェル石油(株)【5002】,78477,46410,-12209,480.13%,69.10%
802,ルネサスエレクトロニクス(株)【6723】,78400,54711,103782,-47.28%,43.30%
77,大阪ガス(株)【9532】,78118,97250,146674,-33.70%,-19.67%
73,昭和電工(株)【4004】,77818,42053,33508,25.50%,85.05%
183,東急不動産ホールディングス(株)【3289】,77519,73227,68750,6.51%,5.86%
211,田辺三菱製薬(株)【4508】,77285,94083,94907,-0.87%,-17.85%
232,エーザイ(株)【4523】,77212,59064,51935,13.73%,30.73%
66,(株)千葉銀行【8331】,76887,70377,76632,-8.16%,9.25%
92,野村不動産ホールディングス(株)【3231】,76660,77271,80912,-4.50%,-0.79%
212,第一三共(株)【4568】,76282,88929,130412,-31.81%,-14.22%
127,(株)クラレ【3405】,75117,67827,66077,2.65%,10.75%
820,(株)バンダイナムコホールディングス【7832】,75024,63238,49641,27.39%,18.64%
144,日本ペイントホールディングス(株)【4612】,74957,72489,71352,1.59%,3.40%
289,東京センチュリー(株)【8439】,73744,71999,65904,9.25%,2.42%
82,(株)ふくおかフィナンシャルグループ【8354】,73587,-20136,68953,-129.20%,465.45%
138,ＳＢＩホールディングス(株)【8473】,72863,43767,55086,-20.55%,66.48%
88,三菱マテリアル(株)【5711】,72819,59761,70420,-15.14%,21.85%
843,(株)ミクシィ【2121】,72359,89008,95033,-6.34%,-18.71%
98,(株)ＩＨＩ【7013】,72267,47389,22048,114.94%,52.50%
257,アルプス電気(株)【6770】,71907,44373,52327,-15.20%,62.05%
719,(株)日本取引所グループ【8697】,71791,59377,66271,-10.40%,20.91%
916,トヨタ紡織(株)【3116】,71198,71936,59492,20.92%,-1.03%
102,王子ホールディングス(株)【3861】,70781,70243,71987,-2.42%,0.77%
159,日本通運(株)【9062】,70269,57431,54778,4.84%,22.35%
160,日本ガイシ(株)【5333】,70026,63212,80898,-21.86%,10.78%
318,住友重機械工業(株)【6302】,69921,48431,50568,-4.23%,44.37%
156,帝人(株)【3401】,69822,56512,67130,-15.82%,23.55%
480,ブラザー工業(株)【6448】,68672,59152,47276,25.12%,16.09%
239,住友ゴム工業(株)【5110】,67449,73284,77067,-4.91%,-7.96%
221,日本特殊陶業(株)【5334】,67279,53595,66279,-19.14%,25.53%
91,(株)めぶきフィナンシャルグループ【7167】,66738,54161,‥,#VALUE!,23.22%
106,東武鉄道(株)【9001】,66645,68335,64399,6.11%,-2.47%
185,(株)ローソン【2651】,65820,73772,72541,1.70%,-10.78%
493,(株)野村総合研究所【4307】,65138,58514,58295,0.38%,11.32%
130,太平洋セメント(株)【5233】,65129,63235,60433,4.64%,3.00%
200,セイコーエプソン(株)【6724】,65003,67892,94026,-27.79%,-4.26%
79,近鉄グループホールディングス(株)【9041】,64643,64828,64736,0.14%,-0.29%
281,(株)シマノ【7309】,64351,64546,85053,-24.11%,-0.30%
215,(株)西武ホールディングス【9024】,64259,62456,65956,-5.31%,2.89%
178,ヒューリック(株)【3003】,64249,53377,42002,27.08%,20.37%
14,(株)東芝【6502】,64070,270788,-708738,138.21%,-76.34%
554,九州旅客鉄道(株)【9142】,63963,58743,20893,181.16%,8.89%
19,ＮＥＣ【6701】,63850,41838,107306,-61.01%,52.61%
245,三菱ガス化学(株)【4182】,62741,43762,34018,28.64%,43.37%
704,ＳＧホールディングス(株)【9143】,62709,49474,54004,-8.39%,26.75%
528,小野薬品工業(株)【4528】,60684,72284,30507,136.94%,-16.05%
265,大陽日酸(株)【4091】,59862,53664,43362,23.76%,11.55%
57,双日(株)【2768】,59838,51618,29242,76.52%,15.92%
674,シスメックス(株)【6869】,59078,51701,56962,-9.24%,14.27%
277,(株)ダイセル【4202】,58932,64306,64349,-0.07%,-8.36%
129,ローム(株)【6963】,57004,31827,33635,-5.38%,79.11%
118,ＤＩＣ(株)【4631】,56483,54182,51068,6.10%,4.25%
170,(株)ニコン【7731】,56236,774,36701,-97.89%,7165.63%
356,協和発酵キリン(株)【4151】,55974,31638,43765,-27.71%,76.92%
222,富士電機(株)【6504】,55962,44709,45006,-0.66%,25.17%
956,(株)日立ハイテクノロジーズ【8036】,55953,53107,49356,7.60%,5.36%
101,川崎重工業(株)【7012】,55925,45960,95996,-52.12%,21.68%
125,(株)静岡銀行【8355】,54794,14408,74228,-80.59%,280.30%
255,横浜ゴム(株)【5101】,54224,42317,54536,-22.41%,28.14%
322,(株)安川電機【6506】,54126,30409,36730,-17.21%,77.99%
264,コニカミノルタ(株)【4902】,53844,50135,60069,-16.54%,7.40%
323,スタンレー電気(株)【6923】,53169,42305,36774,15.04%,25.68%
301,住友林業(株)【1911】,53021,53989,30093,79.41%,-1.79%
282,ＴＯＴＯ(株)【5332】,52602,48571,46137,5.28%,8.30%
99,凸版印刷(株)【7911】,52290,51601,48532,6.32%,1.34%
786,(株)博報堂ＤＹホールディングス【2433】,52187,47261,44994,5.04%,10.42%
416,(株)ドンキホーテホールディングス【7532】,51568,46185,43185,6.95%,11.66%
182,小田急電鉄(株)【9007】,51464,49946,52934,-5.64%,3.04%
446,(株)ディスコ【6146】,50995,31341,30338,3.31%,62.71%
494,日本テレビホールディングス(株)【9404】,50964,52526,53178,-1.23%,-2.97%
186,宇部興産(株)【4208】,50250,34960,41408,-15.57%,43.74%
307,Ｊ．フロント　リテイリング(株)【3086】,49546,44580,48038,-7.20%,11.14%
242,三井金属【5706】,49529,38461,11137,245.34%,28.78%
195,(株)光通信【9435】,49483,41561,37483,10.88%,19.06%
276,日本ハム(株)【2282】,49218,53802,46340,16.10%,-8.52%
241,イオンモール(株)【8905】,49211,44935,43870,2.43%,9.52%
344,ヤマハ(株)【7951】,48833,44302,40663,8.95%,10.23%
1301,(株)コーセー【4922】,48408,39160,34634,13.07%,23.62%
773,東宝(株)【9602】,47586,50223,40710,23.37%,-5.25%
1322,テイ・エス　テック(株)【7313】,47346,34557,39279,-12.02%,37.01%
119,名古屋鉄道(株)【9048】,46976,44180,44864,-1.52%,6.33%
95,大日本印刷(株)【7912】,46372,31410,45471,-30.92%,47.63%
364,日立金属(株)【5486】,46326,68267,99954,-31.70%,-32.14%
566,日立化成(株)【4217】,46219,53152,53036,0.22%,-13.04%
324,東洋ゴム工業(株)【5105】,45308,49315,63381,-22.19%,-8.13%
1059,(株)良品計画【7453】,45286,38278,34439,11.15%,18.31%
223,コナミホールディングス(株)【9766】,45181,36359,24679,47.33%,24.26%
405,ＮＯＫ(株)【7240】,44934,39776,48258,-17.58%,12.97%
162,古河電気工業(株)【5801】,44804,38623,27116,42.44%,16.00%
122,東京建物(株)【8804】,44757,36363,34439,5.59%,23.08%
772,(株)大塚商会【4768】,44386,39684,37311,6.36%,11.85%
418,(株)メディパルホールディングス【7459】,44260,39650,42283,-6.23%,11.63%
403,ＪＳＲ(株)【4185】,43569,32370,34408,-5.92%,34.60%
315,(株)ヤクルト本社【2267】,43463,37281,40057,-6.93%,16.58%
