id,coding,industry,d2018,d2017,d2016
99,凸版印刷(株)【7911】,52290,51601,48532,その他製品
100,日本製紙(株)【3863】,17613,23764,22623,パルプ・紙
101,川崎重工業(株)【7012】,55925,45960,95996,輸送用機器
102,王子ホールディングス(株)【3861】,70781,70243,71987,パルプ・紙
103,旭化成(株)【3407】,198475,159229,165203,化学
104,アステラス製薬(株)【4503】,213258,260830,248986,医薬品
105,(株)池田泉州ホールディングス【8714】,‥,‥,‥,銀行業
106,東武鉄道(株)【9001】,66645,68335,64399,陸運業
107,キリンホールディングス(株)【2503】,211066,141889,124751,食料品
108,ＳＯＭＰＯホールディングス(株)【8630】,‥,‥,‥,保険業
109,積水化学工業(株)【4204】,99231,96476,89823,化学
110,ＪＴ【2914】,561101,593329,565229,食料品
111,ＪＸＴＧホールディングス(株)【5020】,487546,271138,-62234,石油・石炭製品
112,(株)あおぞら銀行【8304】,‥,‥,‥,銀行業
113,ＭＳ＆ＡＤインシュアランスグループホールディングス(株)【8725】,‥,‥,‥,保険業
114,西日本旅客鉄道(株)【9021】,191365,176392,181539,陸運業
115,住友電気工業(株)【5802】,173139,150503,143476,非鉄金属
116,阪急阪神ホールディングス(株)【9042】,105211,104058,110293,陸運業
117,(株)ジャパンディスプレイ【6740】,-61749,18502,16710,電気機器
118,ＤＩＣ(株)【4631】,56483,54182,51068,化学
119,名古屋鉄道(株)【9048】,46976,44180,44864,陸運業
120,住友金属鉱山(株)【5713】,110203,76390,59720,非鉄金属
121,パイオニア(株)【6773】,1194,4167,7304,電気機器
122,東京建物(株)【8804】,44757,36363,34439,不動産業
123,ＬＩＮＥ(株)【3938】,25078,19896,-9524,情報・通信
124,ＡＧＣ(株)【5201】,113915,68837,85949,ガラス・土石製品
125,(株)静岡銀行【8355】,54794,14408,74228,銀行業
126,住友化学(株)【4005】,250923,134336,164446,化学
127,(株)クラレ【3405】,75117,67827,66077,化学
128,日本電産(株)【6594】,167637,140331,124538,電気機器
129,ローム(株)【6963】,57004,31827,33635,電気機器
130,太平洋セメント(株)【5233】,65129,63235,60433,ガラス・土石製品
131,ホンダ【7267】,833558,840711,503376,輸送用機器
132,ヤマハ発動機(株)【7272】,149782,108594,120436,輸送用機器
133,花王(株)【4452】,204791,185571,164380,化学
134,ダイキン工業(株)【6367】,253739,230769,217872,機械
135,ニプロ(株)【8086】,27088,28770,24204,精密機器
136,(株)クボタ【6326】,198826,188777,166874,機械
137,大塚ホールディングス(株)【4578】,104181,101145,151837,医薬品
138,ＳＢＩホールディングス(株)【8473】,72863,43767,55086,証券業
139,日立建機(株)【6305】,95737,23622,34052,機械
140,鹿島【1812】,158373,155392,111079,建設業
141,(株)豊田自動織機【6201】,147445,127345,127970,輸送用機器
142,(株)紀陽銀行【8370】,‥,‥,‥,銀行業
143,味の素(株)【2802】,83320,83617,91045,食料品
144,日本ペイントホールディングス(株)【4612】,74957,72489,71352,化学
145,荏原【6361】,18115,29995,38011,機械
146,武田薬品工業(株)【4502】,241789,155867,130828,医薬品
147,(株)クレディセゾン【8253】,40771,31213,36593,その他金融業
148,川崎汽船(株)【9107】,7219,-46037,9427,海運業
149,(株)レオパレス２１【8848】,22930,22898,20996,不動産業
150,(株)電通【4324】,137392,137681,107265,サービス業
151,清水建設(株)【1803】,121373,128835,94668,建設業
152,キヤノンマーケティングジャパン(株)【8060】,30406,27676,26647,卸売業
153,南海電気鉄道(株)【9044】,33971,31840,32318,陸運業
154,中外製薬(株)【4519】,98934,76884,86784,医薬品
155,日野自動車(株)【7205】,80331,71178,98287,輸送用機器
156,帝人(株)【3401】,69822,56512,67130,繊維製品
157,(株)ヤマダ電機【9831】,38763,57895,58158,小売業
158,(株)ほくほくフィナンシャルグループ【8377】,‥,‥,‥,銀行業
159,日本通運(株)【9062】,70269,57431,54778,陸運業
160,日本ガイシ(株)【5333】,70026,63212,80898,ガラス・土石製品
161,(株)村田製作所【6981】,162146,201215,275406,電気機器
162,古河電気工業(株)【5801】,44804,38623,27116,非鉄金属
163,ファナック(株)【6954】,229604,153217,215567,電気機器
164,ミネベアミツミ(株)【6479】,79162,49015,51438,電気機器
165,(株)ＬＩＸＩＬグループ【5938】,80949,67535,39011,金属製品
166,コマツ【6301】,271581,174097,208577,機械
167,日本精工(株)【6471】,97875,65341,89534,機械
168,セコム(株)【9735】,135448,131050,128582,サービス業
169,(株)高島屋【8233】,35318,34000,32972,小売業
170,(株)ニコン【7731】,56236,774,36701,精密機器
171,(株)商船三井【9104】,22684,2558,2323,海運業
172,豊田通商(株)【8015】,182696,133669,140299,卸売業
173,(株)資生堂【4911】,80437,36780,37660,化学
174,イビデン(株)【4062】,16702,7141,22570,電気機器
175,オムロン(株)【6645】,85910,67566,62287,電気機器
176,アコム(株)【8572】,80942,-70166,15516,その他金融業
177,(株)オリエンタルランド【4661】,110285,113152,107357,サービス業
178,ヒューリック(株)【3003】,64249,53377,42002,不動産業
179,青山商事(株)【8219】,20591,20210,21336,小売業
180,(株)千葉興業銀行【8337】,‥,‥,‥,銀行業
181,ＳＭＣ(株)【6273】,192428,141107,134233,機械
182,小田急電鉄(株)【9007】,51464,49946,52934,陸運業
183,東急不動産ホールディングス(株)【3289】,77519,73227,68750,不動産業
184,京王電鉄(株)【9008】,38537,37976,37758,陸運業
185,(株)ローソン【2651】,65820,73772,72541,小売業
186,宇部興産(株)【4208】,50250,34960,41408,化学
187,(株)大林組【1802】,137800,133742,106380,建設業
188,(株)長谷工コーポレーション【1808】,100805,89032,68762,建設業
189,東ソー(株)【4042】,130580,111216,69444,化学
190,ＴＢＳホールディングス【9401】,18800,19878,17179,情報・通信
191,東京エレクトロン(株)【8035】,281172,155697,116788,電気機器
192,(株)アマダホールディングス【6113】,37965,33030,42526,機械
193,(株)広島銀行【8379】,‥,‥,‥,銀行業
194,ＮＴＮ(株)【6472】,39608,35622,47770,機械
195,(株)光通信【9435】,49483,41561,37483,情報・通信
196,(株)琉球銀行【8399】,8782,8614,11127,銀行業
197,(株)ＳＣＲＥＥＮホールディングス【7735】,42725,33731,23557,電気機器
198,サッポロホールディングス(株)【2501】,17032,20267,13950,食料品
199,Ｊトラスト(株)【8508】,2355,-5769,-4114,その他金融業
200,セイコーエプソン(株)【6724】,65003,67892,94026,電気機器
201,(株)フジクラ【5803】,34343,34230,32632,非鉄金属
202,(株)ＵＡＣＪ【5741】,29205,25869,15212,非鉄金属
203,(株)八十二銀行【8359】,‥,‥,‥,銀行業
204,東洋紡(株)【3101】,23923,23332,23123,繊維製品
205,京阪ホールディングス(株)【9045】,31458,32343,31524,陸運業
206,ＤＭＧ森精機(株)【6141】,29391,1961,31140,機械
207,(株)りそなホールディングス【8308】,‥,‥,‥,銀行業
208,(株)三越伊勢丹ホールディングス【3099】,24413,23935,33107,小売業
209,(株)セブン＆アイ・ホールディングス【3382】,391657,364573,352320,小売業
210,(株)三菱ケミカルホールディングス【4188】,355711,268621,280026,化学
211,田辺三菱製薬(株)【4508】,77285,94083,94907,医薬品
212,第一三共(株)【4568】,76282,88929,130412,医薬品
213,(株)西日本フィナンシャルホールディングス【7189】,34809,31966,,銀行業
214,(株)山口フィナンシャルグループ【8418】,40945,35984,36017,銀行業
215,(株)西武ホールディングス【9024】,64259,62456,65956,陸運業
216,(株)京葉銀行【8544】,‥,‥,‥,銀行業
217,(株)筑波銀行【8338】,‥,‥,‥,銀行業
218,ＮＴＴ都市開発(株)【8933】,29635,31393,37771,不動産業
219,(株)群馬銀行【8334】,‥,30351,39681,銀行業
220,カシオ計算機(株)【6952】,29568,30636,42169,電気機器
221,日本特殊陶業(株)【5334】,67279,53595,66279,ガラス・土石製品
222,富士電機(株)【6504】,55962,44709,45006,電気機器
223,コナミホールディングス(株)【9766】,45181,36359,24679,情報・通信
224,(株)大垣共立銀行【8361】,11819,21975,19237,銀行業
225,日本軽金属ホールディングス(株)【5703】,29893,30225,26821,非鉄金属
226,(株)武蔵野銀行【8336】,‥,‥,‥,銀行業
227,イオンフィナンシャルサービス(株)【8570】,‥,‥,‥,その他金融業
228,阪和興業(株)【8078】,26217,23426,18178,卸売業
229,(株)ジェイテクト【6473】,81391,77442,81923,機械
230,日立造船(株)【7004】,5907,14947,15112,機械
231,アイシン精機(株)【7259】,253808,228691,176435,輸送用機器
232,エーザイ(株)【4523】,77212,59064,51935,医薬品
233,(株)三井Ｅ＆Ｓホールディングス【7003】,-5224,8304,11813,輸送用機器
234,ＯＫＩ【6703】,7721,2545,18594,電気機器
235,京浜急行電鉄(株)【9006】,29474,37761,14809,陸運業
236,石原産業(株)【4028】,10022,8415,8314,化学
237,横河電機(株)【6841】,32696,31608,39642,電気機器
238,千代田化工建設(株)【6366】,-12330,15680,16015,建設業
239,住友ゴム工業(株)【5110】,67449,73284,77067,ゴム製品
240,セイノーホールディングス(株)【9076】,27879,27116,26186,陸運業
241,イオンモール(株)【8905】,49211,44935,43870,不動産業
242,三井金属【5706】,49529,38461,11137,非鉄金属
243,(株)京都銀行【8369】,23687,24313,31837,銀行業
244,北越コーポレーション(株)【3865】,11414,12900,9236,パルプ・紙
245,三菱ガス化学(株)【4182】,62741,43762,34018,化学
