title,coding,industry,market_value,returns_ratio
日立造船(株),7004,機械,"69,277",2.95
日本製紙(株),3863,パルプ?紙,"158,455",2.93
中外製薬(株),4519,医薬品,"8,266,001",1.02
第一三共(株),4568,医薬品,"6,864,648",0.84
大塚ホールディングス(株),4578,医薬品,"2,624,617",2.13
エーザイ(株),4523,医薬品,"2,812,344",1.69
大日本印刷(株),7912,その他製品,"745,429",2.78
東京建物(株),8804,不動産業,"271,290",3.47
エムスリー(株),2413,サービス業,"4,323,285",---
コムシスホールディングス(株),1721,建設業,"439,215",2.57
(株)ファーストリテイリング,9983,小売業,"6,781,289",0.75
荏原,6361,機械,"262,692",2.18
住友不動産(株),8830,不動産業,"1,496,814",1.21
太陽誘電(株),6976,電気機器,"390,655",1
(株)資生堂,4911,化学,"2,451,200",0.65
三菱地所(株),8802,不動産業,"2,345,780",1.48
明治ホールディングス(株),2269,食料品,"1,331,399",1.72
日産化学(株),4021,化学,"840,960",1.67
(株)三井Ｅ＆Ｓホールディングス,7003,輸送用機器,"37,561",0
キッコーマン(株),2801,食料品,"1,114,828",---
清水建設(株),1803,建設業,"644,216",2.94
(株)セブン＆アイ?ホールディングス,3382,小売業,"3,091,023",2.82
横河電機(株),6841,電気機器,"471,167",1.94
(株)千葉銀行,8331,銀行業,"457,507",3.21
大和ハウス工業(株),1925,建設業,"1,909,772",3.14
花王(株),4452,化学,"3,923,962",1.72
(株)丸井グループ,8252,小売業,"428,757",2.66
ＫＤＤＩ(株),9433,情報?通信,"7,705,176",3.59
信越化学工業(株),4063,化学,"5,477,032",---
アステラス製薬(株),4503,医薬品,"3,245,095",2.41
