industry,name,d2018,d2017,d2016
医薬品,中外製薬(株)【4519】,210597,124323,98934
陸運業,南海電気鉄道(株)【9044】,35223,27745,33971
輸送用機器,日野自動車(株)【7205】,54859,86717,80331
繊維製品,帝人(株)【3401】,56205,60000,69822
小売業,(株)ヤマダ電機【9831】,38326,27864,38763
銀行業,(株)ほくほくフィナンシャルグループ【8377】,‥,‥,‥
陸運業,日本通運(株)【9062】,59224,79598,70269
ガラス・土石製品,日本ガイシ(株)【5333】,55000,64705,70026
電気機器,(株)村田製作所【6981】,253247,266807,162146
非鉄金属,古河電気工業(株)【5801】,23565,40842,44804
電気機器,ファナック(株)【6954】,88350,163297,229604
機械,コマツ【6301】,250707,397806,271581
金属製品,(株)ＬＩＸＩＬグループ【5938】,39121,-15029,80949
電気機器,ミネベアミツミ(株)【6479】,58647,72033,79162
機械,日本精工(株)【6471】,23604,79279,97875
サービス業,セコム(株)【9735】,142858,130213,135448
小売業,(株)高島屋【8233】,25582,26661,35318
精密機器,(株)ニコン【7731】,6751,82653,56236
海運業,(株)商船三井【9104】,23779,37718,22684
卸売業,豊田通商(株)【8015】,210370,215197,182696
化学,(株)資生堂【4911】,113831,108350,80437
電気機器,イビデン(株)【4062】,19685,10137,16702
電気機器,オムロン(株)【6645】,54760,76633,85910
その他金融業,アコム(株)【8572】,75636,57607,80942
サービス業,(株)オリエンタルランド【4661】,96862,129278,110285
不動産業,ヒューリック(株)【3003】,88353,75564,64249
小売業,青山商事(株)【8219】,818,14629,20591
銀行業,(株)千葉興業銀行【8337】,‥,‥,‥
機械,ＳＭＣ(株)【6273】,146254,180203,192428
陸運業,小田急電鉄(株)【9007】,41103,52089,51464
陸運業,京王電鉄(株)【9008】,36024,40078,38537
小売業,(株)ローソン【2651】,62943,60781,65820
化学,宇部興産(株)【4208】,34033,44551,50250
建設業,(株)大林組【1802】,152871,155480,137800
建設業,(株)長谷工コーポレーション【1808】,85925,98430,100805
銀行業,(株)琉球銀行【8399】,7068,7544,8782
ゴム製品,ＴＯＹＯ　ＴＩＲＥ(株)【5105】,38447,42390,45308
化学,エア・ウォーター(株)【4088】,50616,43580,42398
化学,東ソー(株)【4042】,81658,105739,130580
情報・通信,ＴＢＳホールディングス【9401】,13103,18572,18800
電気機器,東京エレクトロン(株)【8035】,237292,310571,281172
機械,(株)アマダ【6113】,34682,45316,37965
その他金融業,Ｊトラスト(株)【8508】,287,-32600,2355
銀行業,(株)広島銀行【8379】,‥,‥,‥
機械,ＮＴＮ(株)【6472】,7056,26945,39608
情報・通信,(株)光通信【9435】,73004,64277,49483
電気機器,(株)ＳＣＲＥＥＮホールディングス【7735】,12561,29645,42725
食料品,サッポロホールディングス(株)【2501】,12208,10828,17032
鉄鋼,山陽特殊製鋼(株)【5481】,-1417,10123,10969
電気機器,セイコーエプソン(株)【6724】,39479,71355,65003
非鉄金属,(株)フジクラ【5803】,3346,27679,34343
非鉄金属,(株)ＵＡＣＪ【5741】,10126,14868,29205
銀行業,(株)八十二銀行【8359】,‥,‥,‥
繊維製品,東洋紡(株)【3101】,22794,21727,23923
陸運業,京阪ホールディングス(株)【9045】,31123,33715,31458
機械,ＤＭＧ森精機(株)【6141】,37339,36261,29391
小売業,(株)三越伊勢丹ホールディングス【3099】,15679,29229,24413
銀行業,(株)りそなホールディングス【8308】,‥,‥,‥
小売業,(株)セブン＆アイ・ホールディングス【3382】,424266,411596,391657
化学,(株)三菱ケミカルホールディングス【4188】,144285,297950,355711
医薬品,第一三共(株)【4568】,138800,83705,76282
銀行業,(株)西日本フィナンシャルホールディングス【7189】,33636,38002,34809
銀行業,(株)山口フィナンシャルグループ【8418】,32294,31827,40945
陸運業,(株)西武ホールディングス【9024】,56823,73332,64259
銀行業,(株)京葉銀行【8544】,‥,‥,‥
銀行業,(株)筑波銀行【8338】,‥,‥,‥
銀行業,(株)群馬銀行【8334】,‥,‥,‥
電気機器,カシオ計算機(株)【6952】,29064,30262,29568
ガラス・土石製品,日本特殊陶業(株)【5334】,46444,58672,67279
電気機器,富士電機(株)【6504】,42515,59972,55962
情報・通信,コナミホールディングス(株)【9766】,30972,50522,45181
銀行業,(株)大垣共立銀行【8361】,12368,10062,11819
非鉄金属,日本軽金属ホールディングス(株)【5703】,24607,30052,29893
銀行業,(株)武蔵野銀行【8336】,‥,‥,‥
その他金融業,イオンフィナンシャルサービス(株)【8570】,65070,‥,‥
卸売業,阪和興業(株)【8078】,27330,28904,26217
機械,(株)ジェイテクト【6473】,34693,66608,81391
機械,日立造船(株)【7004】,13891,7358,5907
輸送用機器,アイシン精機(株)【7259】,56129,205562,253808
医薬品,エーザイ(株)【4523】,125502,86154,77212
輸送用機器,(株)三井Ｅ＆Ｓホールディングス【7003】,-62079,-59703,-5224
電気機器,ＯＫＩ【6703】,16829,17522,7721
陸運業,京浜急行電鉄(株)【9006】,29489,40147,29474
パルプ・紙,大王製紙(株)【3880】,30629,12122,11062
化学,石原産業(株)【4028】,6188,11372,10022
電気機器,横河電機(株)【6841】,35588,34594,32696
ゴム製品,住友ゴム工業(株)【5110】,33065,57155,67449
陸運業,セイノーホールディングス(株)【9076】,29439,31209,27879
不動産業,イオンモール(株)【8905】,60794,52987,49211
非鉄金属,三井金属【5706】,13037,18222,49529
銀行業,(株)京都銀行【8369】,28266,22410,23687
パルプ・紙,北越コーポレーション(株)【3865】,11208,10130,11414
化学,三菱ガス化学(株)【4182】,34260,41386,62741
ガラス・土石製品,住友大阪セメント(株)【5232】,16128,14178,18990
情報・通信,(株)メルカリ【4385】,-19308,-12149,-4422
医薬品,沢井製薬(株)【4555】,26793,25798,22209
輸送用機器,いすゞ自動車(株)【7202】,140582,176781,166765
化学,富士フイルムホールディングス(株)【4901】,186570,209827,130679
サービス業,ケネディクス(株)【4321】,15931,14516,12285
石油・石炭製品,コスモエネルギーホールディングス(株)【5021】,13893,94653,111868
サービス業,(株)リクルートホールディングス【6098】,206011,223090,191794
電気機器,東芝テック(株)【6588】,13977,17989,24546
ゴム製品,横浜ゴム(株)【5101】,58564,53478,54224
陸運業,相鉄ホールディングス(株)【9003】,26423,31622,31266
電気機器,アルプスアルパイン(株)【6770】,26795,49641,71907
精密機器,テルモ(株)【4543】,110611,106637,108552
銀行業,(株)東和銀行【8558】,‥,‥,‥
金属製品,三和ホールディングス(株)【5929】,34217,31593,28322
銀行業,(株)南都銀行【8367】,12520,6270,11593
機械,(株)小森コーポレーション【6349】,-3404,2706,3732
不動産業,日本アセットマーケティング(株)【8922】,8366,8426,7536
電気機器,コニカミノルタ(株)【4902】,8211,62444,53844
医薬品,そーせいグループ(株)【4565】,384,-5734,-2291
化学,大陽日酸(株)【4091】,93921,66863,59862
銀行業,(株)百十四銀行【8386】,‥,‥,‥
